bin,count
0,1232
1,729
2,808
3,958
4,1183
5,1091
6,737
7,266
8,82
9,4
.,2391
total_canes,319
number_of_shoots,5858
cane_id,total,2,3,4,5,6,7,8,#shoots
1191,191,65,93,115,131,143,155,167,22
1192,245,75,110,144,170,188,203,217,25
1193,116,42,62,81,96,108,110,112,20
1194,90,38,53,65,70,74,78,82,16
1201,195,57,83,107,127,143,156,169,17
1202,151,52,74,93,108,119,127,135,20
1203,174,54,81,103,122,136,146,156,18
1204,130,43,61,75,89,98,106,114,14
1211,156,52,77,99,116,127,137,144,21
1212,131,46,64,80,95,105,113,119,19
1213,157,61,86,110,128,140,147,151,30
1214,131,45,66,86,100,107,113,119,17
1221,154,49,70,88,104,116,127,136,17
1222,127,50,69,87,99,106,112,117,21
1223,152,52,75,96,113,127,135,142,21
1224,153,56,80,100,115,124,132,139,23
1231,220,68,101,131,155,176,191,202,25
1232,125,43,62,80,94,104,112,117,18
1233,195,59,87,112,133,152,165,175,21
1234,131,47,66,84,101,114,119,123,22
1241,218,64,94,120,141,159,176,190,18
1242,98,41,59,74,85,88,91,94,19
1243,109,38,53,68,80,88,94,99,15
1244,179,60,88,111,127,139,149,159,21
1251,165,55,79,101,117,131,141,149,20
1252,158,55,78,97,111,121,131,140,21
1253,114,42,62,79,89,97,102,106,18
1254,79,33,45,55,64,70,73,75,17
1261,177,49,71,92,113,129,143,155,14
1262,164,55,78,98,115,126,137,146,19
1263,132,39,55,70,85,95,105,114,11
1264,189,62,89,113,133,150,162,171,24
1271,163,54,78,96,111,122,133,143,17
1272,181,58,82,102,121,137,150,161,21
1273,158,53,79,101,118,130,137,144,20
1274,133,41,60,79,94,105,112,119,14
1281,119,39,57,73,84,93,101,107,14
1282,235,72,104,133,157,177,192,207,23
1283,140,47,66,84,99,111,121,128,19
1284,138,44,64,81,98,109,117,124,16
1291,176,59,85,107,126,140,151,160,23
1292,169,57,81,103,119,133,142,151,21
1293,137,51,68,83,97,107,115,123,20
1294,128,47,65,78,89,98,106,114,17
1301,154,47,68,87,104,117,127,136,16
1302,135,47,66,81,94,104,113,121,17
1303,143,49,70,86,99,111,119,127,18
1304,111,41,58,73,83,90,96,101,16
1311,149,55,76,95,107,119,128,135,21
1312,95,39,56,67,75,82,86,89,18
1313,186,58,84,109,131,148,159,168,21
1314,207,70,100,124,143,159,171,183,25
1321,150,51,72,91,104,114,123,132,17
1322,131,44,60,74,86,95,104,113,16
1323,121,37,54,70,84,94,102,109,14
1324,178,54,78,98,115,130,142,154,15
1331,136,46,65,81,95,104,112,120,17
1332,151,48,70,91,108,118,127,135,16
1333,134,43,62,79,91,102,111,120,15
1334,109,38,53,66,78,85,91,97,14
1341,220,67,97,124,149,167,182,196,23
1342,109,39,56,69,80,89,94,99,16
1343,145,47,67,85,102,113,121,129,16
1344,177,47,68,87,106,124,140,153,12
1351,119,46,62,76,86,95,101,107,18
1352,181,52,76,100,122,139,151,161,16
1353,183,54,76,96,116,134,149,161,17
1354,142,47,69,88,103,114,121,128,17
1361,134,55,76,94,105,113,119,124,24
1362,161,52,74,93,111,125,137,145,20
1363,141,52,74,92,107,117,123,129,21
1364,147,51,72,93,108,119,126,133,19
1371,159,56,77,93,104,115,126,137,20
1372,150,61,81,98,109,118,126,134,27
1373,179,53,77,99,119,137,151,161,18
1374,129,47,66,83,95,104,111,117,19
1381,191,62,89,114,136,154,169,177,25
1382,227,67,97,120,143,162,179,195,18
1383,179,53,77,100,120,138,151,161,18
1384,87,40,52,61,69,74,78,81,18
1391,143,48,67,84,99,110,119,127,19
1392,131,46,65,80,92,101,109,117,18
1393,183,61,88,113,134,150,161,169,25
1394,171,52,75,94,111,126,140,151,17
1401,191,61,87,111,127,141,154,167,20
1402,137,46,67,86,99,108,116,123,17
1403,166,52,74,94,113,129,143,152,22
1404,126,48,67,85,99,109,114,118,22
1411,140,43,62,81,97,110,119,128,16
1412,225,64,96,124,150,173,190,203,21
1413,111,34,49,62,74,83,90,97,11
1414,136,47,66,83,97,109,117,124,18
1421,187,59,83,105,125,142,157,167,20
1422,173,58,84,106,124,140,151,159,23
1423,246,71,104,137,166,194,209,222,25
1424,215,67,99,127,150,168,182,193,23
1431,171,60,83,100,115,127,138,149,21
1432,167,50,74,95,114,129,142,151,18
1433,162,46,67,87,105,119,131,142,13
1434,81,38,52,63,69,73,75,77,19
1441,130,45,65,81,93,104,111,118,17
1442,98,38,54,69,78,82,86,90,16
1443,132,47,67,83,97,107,114,120,18
1444,108,43,60,74,87,92,96,100,20
1451,194,63,88,110,130,146,158,170,21
1452,179,63,87,108,126,139,149,159,23
1453,151,49,71,90,106,115,124,133,17
1454,203,68,96,121,142,158,170,181,25
1461,124,49,68,83,94,101,108,114,21
1462,128,46,64,79,90,100,107,114,18
1463,161,54,77,97,113,126,136,145,20
1464,92,37,51,63,72,76,80,84,16
1471,220,67,97,124,149,171,185,198,23
1472,198,65,95,119,137,150,162,174,21
