coy,vortex,
,,
cane,coy,
253,",.62.0.32..5..2.5.2.3..4.32.5..3.3..3.11....L3",
254,",435..1.4...4.3.6..5.5.3..5.3.45566.07.8.65.7.L23",
261,",6783366214556.775855386117688.7...5.62..L78",
262,",4...634458.58.51.5..7.7.6.658.8.8..6817.8..L106",
263,",5606.3.6517.6.5.6.5.66.3.6.2..5.27.6348.5217L69",
264,",1336.102..146.276.44857.18..4.4..2.5L65",
271,",636435.......56.4.47.16.725058.65.5.35.4305.0.L59",
272,",337052.2.44..66.57.44.7.58.8.41.3..30L48",
273,",5..00.0..5.0..0.61.5..5253.5..5535.50.27.0L26",
274,",623.7.08077.0.6.4.6.22.4.43.4.......5.3.L21",
281,",.3611.4.7.6.6..3...054.3..333..205.L2",
282,",55656061.6.3.56.53.5.4104.05.03.4...L3",
283,",45.....5.1..01.26..7..66.560.60.242..7.5.L25",
284,",5062.2....64....5.5.66....5.....4.334....4.330.L15",
291,",562.641.....752.32175.6.86.5.71.1.....0...0L30",
292,",066.52.56.774.63.6.75.65.63.66.55...L37",
293,",6646601645726266066034.7444.65.72.5..5..L43",
294,",36418.23.6.434826626536.47.4..4..1.0.L24",
301,",..46.1.2.4.2.4.1.3.51..0.1.11.32.0.03.2.3...L4",
302,",7...5.4...3.4.5.3.5..054335.3..0.43.1023.0.L16",
303,",5.2.1...03020102.404.24.4.23.3.24.2.L17",
304,",53.41.4.202.31....350364.16..0.3....L2",
311,",951.053237.31.763.54.6..7.53.5.75.84.5.61..L73",
312,",05678.57058.53..7.657.7.55.8.31.4.6.0.L53",
313,",075.5726.57.4.6.6.61.01.6.85...454...L72",
314,",375667252..6.1.6...50....4.82.3523.6...L39",
321,",65626.9.8.8.6937949.78.5..6.5.04.3.L86",
322,",2736.56.7.9.7.7.457.32.66.6.66.7..1..L41",
323,",547.47.8.86.9.47.86.8173.96..450.50..L72",
324,",6174423687.8.6155.96.8..8.25.74.72.4.62.L59",
331,",6586727.7.73..6.7.75.6.76.63.7536.766.2.L100",
332,",56075281662.587557.5607.6616..6..1.L75",
333,",66486248666672.735723645..8.68.711.L92",
334,",06356.60.67..6.6.4.26.....7.7..7.0...L75",
341,",55.41.66.5553170.155.5.7.0..6....5..1..2.L7",
342,",430535.63....65.463.7.3.0..0...33....5..L9",
343,",.000033.2.3.6.3.....60.5.....05........L5",
344,",0....073...5..46.24.....444......3..0...L12",
351,",35.6.6.47.8.6....5.5.56.7..3.05.2.5.7.6...L18",
352,",64707.7.2..7.4..5.61.5.77.53.55.7..5.3..4L23",
353,",13.5..156..65.65.4.57.2258.3..5....5.3.2.L33",
354,",160366.745577..72.6..7..3.4.3..5.50L29",
361,",258758..4..6.7..7.7..6..6.76.4.64.5.3..L66",
362,",55776...8464.7.71.70.6.6.66543.5....4L71",
363,",5568.6.0.55.626.46.57.6702997679707.5.L74",
364,",665656.5.8.67.66.6.61352626...2..1L76",
371,",1471.5.65..3..65..0.7.7..7.43.6745037.22.7413..L27",
372,",576501...6..74.8653.3.644..8..44.6....L12",
373,",4.86.3.56.5.67..567404.45.86.6.6......0L22",
374,",65.8.6248.8.7.76.6456.36.3.43..6.....L33",
381,",41.01140552513.4.4054464706106.85.1.7.45.1.L3",
382,",55430.17575.6524.6147.56.65..44..3L8",
383,",0235.6..56.10.66...5.5405.4.....0.50.2.L23",
384,",0016.415..10..67.4.2672.7..2.53.5..3.3.0.6..L19",
391,",.251...7.5.2.636.55.42.50....0.4...L9",
392,",.7465160..3.0.0..5.63..3..1.17.5514.4.L17",
393,",44154242.2.6455464513..2.....0.1..4.L1",
394,",4465.0..5.74.65.4..5......2.....2..L10",
401,",66.37534.36.526.6.16.5.45.5.0.6.3..2L19",
402,",072430603.742.53..27.1.22.0541..0.00.L4",
403,",466.5535.7.6.5.86666....6.34....0.....L19",
404,",77.7.432445657676.67.67368.6266.02.6..3....L52",
411,",.7473924..639.68.74.6.17.55....5....L51",
412,",65.3.5..5363156..7..1.66.3.71.3..315.3..L29",
413,",56146.2312.5.4.3554.3....45.5.5..31.41.5..4L2",
414,",566575375.5.3.53..724365.03.1..2..652.L25",
421,",7675736.6555.744.6..1..7..6..77.76.5.4016.6L95",
422,",758..60.746.18.7.54..6.5447.567.7..6.7.13L85",
423,",555405.6.465.5.7.5464.45..4.7.6...05.1L25",
424,",5472650.5.51.4..7.44.6..7.4.56.5.3......L31",
431,",57..7..7.6.476.56.7237.03.76.47.5.47.18.5..L50",
432,",5..70.88.7..4..6.7.68.6.77.7.6818.5438.6637..L89",
433,",86.6477.7647..733667..707475.6.55.5..4.15.L51",
434,",4651.64684.7.8..565.6556.55.61...5.6.5..1..L38",
441,",66441616.73726.6624.5.5.7..6.35..5.555.6.L29",
442,",06177.726...4.5..74.67.56.12.64.534...L17",
443,",55557857.7.847.2506.16.605.25.4...L68",
444,",77.8614.1057.3..70.56.6..6.5..3.4.L37",
451,",67776.746..4.7.4.63.10.5..3......5..3....6..L4",
452,",42523245636..7.57.58.5..4.3..1...L26",
453,",56466.7636446.667.77.7.2..05.15.5..7..4..L31",
454,",6389.867..7..5.....01.0.............L4",
461,",47440.9.67..68.12..35..5..5.5.2300.0..0....L20",
462,",95..1876.7471.0.82.......6.15.10..........0.L30",
463,",683828736434.5....3.0.11.0524.61.....L9",
464,",5265.4263.6...3.....13777.67..63.55......0..0..L38",
471,",575.66.65.282.86.53.2.55.560.1..3.65.66..L37",
472,",849.7576.6.46.8..36626475.762756.14.6.L50",
473,",31570.65.6.6..08.5747.23.3.28.5.26....L54",
474,",6..052053.4650512267053563..6465..2...5..203092.5.L35",
481,",657574657738....6.72.2..5.8..7.6..6..3L21",
482,",8377.4676.4..65.0.36.38.58.25.54..4247.5...L21",
483,",13204301.7...77.6.6.55.12..0...41.6..5..L22",
484,",415404773.7646.6.0.32.5...2...61.5.....L26",
491,",64.5.9.5463.2.54.1.7.83.7..5.74.30.0...L50",
492,",747.57.2..6.27.7.4.5216.32151.3..5.0..L38",
493,",673.3.4004.33.86.86.47.7.6.8.73.77.441....L42",
494,",6626.6046.65262.72.7152.62.80.1..1.61...4.L31",
501,",7136..67168.627.6334..5.0714.542..8.3..4L67",
502,",686737726.877.235.6.42.6.87286.62.5.L106",
503,",3540665.25.641.66..45...7...56.5....L26",
504,",45.7.6.64.558.6477472.65..7.45.4.75.41.4.L42",
511,",266465.66.6.557.65..5.3..6.63.4..L4",
512,",074526.0356.4.5.62.2..3.5..4.70.21....L26",
513,",345602510647.5.3016.1..0.4.04..5.1....L3",
514,",1675766.3.25266..4164.51.635...1.5..1..1L7",
521,",276.5586647.540.7.72.55.62.5...2.4.63..L41",
522,",40636756.7376.8.4.36.3..4.0..3.57.1..0..5.4.0L27",
523,",3356.44.15.7...34...16366.6..5..6..1.5.20L14",
524,",706706775.88528.7646.77.75.3.4..4.3.L44",
531,",5..1.66.6...5.4726.8.6.6566.58.48.6.5.04.L30",
532,",567736605.538.6.7..41.46.146.3...5.L28",
533,",4754.73772535.736867.5.4.6..3..6.5256.5L42",
534,",764347..66.68064.7..7.4.5546...L62",
541,",77.851827.6162..6..6.7..5.1..08..L28",
542,",617.8..8383.8.76.71.7.65.74.4.4..4...L77",
543,",26624685.93..63.56576.7.36........3..3.L42",
544,",575866..467363.1.376383.7778.4.1557477.L73",
551,",565197.8.878..45.8...8834.3..L52",
552,",65.5507.654616.42.50.6215.34.64..0L15",
553,",51606.4.4.20.80.0.44.65.501404221.L16",
554,",5175744.4.8.3.3..65.744585.8.24.1......L36",
561,",1843.4467.5.55.6.67.33.6........2...L19",
562,",551.776..753.1475.9..1.6..6.41.3....L31",
563,",15510.6534666665..46.4..5...0...6.L8",
564,",.14261346367..2.2..35.06.0..4.4....0.0L8",
571,",7070866777.5.6.3..7....5.03.5.40..L34",
572,",45.2174.49..62.16.4..45.54.7135.85.8.310.L26",
573,",42646.0630406.5.570066.36.45.03.4.6104L19",
574,",9.37.1..2..407.55.45.7.612...3........0L27",
581,",..65..75.7.57..7.5.45.7.77.6..L65",
582,",67.7.686.6.6.3..7.6..4.4.....L25",
583,",35518.67.3.3.6.0717.06.5607..1.6..L32",
584,",97483.7627.16386.7237.5..63.7..5.66.5..1...L61",
591,",03636.1377.5.55.3.....6.1.46.5.25...L17",
592,",4076.3246.4.07.2.4514.24.3.4.33.3.3305..L8",
593,",...2.0.2.4051..4.66.2.6.36..5.6.4.06.4336016.L14",
594,",.....0245.1..4..8.5....64.8.2337.50.3L28",
601,",31140206.32.4.23.2.........L2",
602,",6.1..0122.6.616.5.524.6.76.3..621..7.57.L62",
603,",17647471.034.3.5.35.26..6.032614304L7",
604,",4..0..3..33.3654.6.46268.3.57.5.54.31.6.2L52",
611,",327655.46035.73546366.56.64.6.32L23",
612,",42..524.451664604.55.6.6317.3.5.75.0L1",
613,",356651542445432435.666356.4265.34.1..5..06.65..0L12",
614,",.56.3.26.05.44.54.4.0.16.432..114.2...100L1",
621,",37.460.3674.135.5..5637.3606535033..L27",
622,",247..45.7.5..8.687...96.9395.8..4.7.5L90",
623,",656.67..673.12415508855.7443.33.2.72.42.0..5.6L57",
624,",3652.6.31123.5.5433562.472.236....3....250L24",
631,",3767536.74665877726.583.88..45.70.6.L62",
632,",5067.4538.68.5748..56667.49.6.64.5.40L28",
633,",49.41784.4.6667.3.6440.76.5145.67.7502.6L18",
634,",46.36.2666.46.2.7.65...46..0.16.4556.0L27",
641,",45182565414450717569013.45..213.6..L3",
642,",174413.5473477.8667.7.5.24.7.564..5.43.L5",
643,",7043.532.4.1.768.6.16.5.4.56..5...L15",
644,",.54.0.0050.4...10.5203.4.3..1.00..0.3..L0",
651,",440.26..5.0.66787505.65.4.45.6.6..0L16",
652,",44.5361.66.72.55.4256566.76.4.7..5..50.L24",
653,",2654.61056.756.2.54435523.56.3....0.3.0L6",
654,",50.6.2405.363.63.6.6.6.6.3..3.5.4..5..4.L14",
661,",44.7.67.7649.3..7.38.6..6.3....L15",
662,",175708.6077.5757.62.6.6238.7.5.34..0.601.1L40",
663,",43.672.62.4.6.2.0..5.2..40.00.4.0L18",
664,",5.66.64..6.15.65....34.9153.7.6.56..624.54..5...7L42",
671,",3151.7024426..1..7.5.254..6.25....7.45.03.6.6.L24",
672,",664322.631056.3273.63.5.7556.4.6...L12",
673,",04..0..44.2...1..0.00.5....4..3.5..4.5...L0",
674,",511...26.1.2....1.0.3.6.6..6..12.1.4.5.5L0",
681,",250.4034.40.1.6246.04315.4.65.4.6.6.1505..1.4.3L5",
682,",2.5.35.31.4634.465.66.446.34...1.4L1",
683,",345..30.564.55....8.64.8.3..4.044700.L9",
684,",......0304.6.42.24.5.56451340..56.2..35..0.25.2L3",
691,",455.40.150.115.4..4005.62726143356423.6325.4L10",
692,",5561034531.6451455157.2..6.46.1.46.0L8",
693,",7402.05.5702.45.4.2.06.53.5425.41..4.3504.3..L14",
694,",434405146.402313035.3.1400L4",
701,",50615162.73.541132.7....6..42...5.30.L19",
702,",.746.565474.661647.7263.65.6463.64.66.5L56",
703,",36156056.30573.66.3..3..6...5..412.L9",
704,",5573536.3236036557.3636167405..7.605L33",
711,",55.6.3217..6.6.70786.8.9.68.7.75...7.16.1.L55",
